"","M110T41_2_pos","M195T35_pos","M74T42_pos","M145T253_neg","M383T176_neg","M258T41_neg","M89T71_neg","M229T45_neg","M339T37_neg","M306T80_neg","M174T41_neg","M145T39_neg","M203T264_neg","M664T67_neg","M122T103_neg","M288T106_neg","M180T105_neg","M243T133_neg","M151T114_neg","M283T230_neg","M204T285_neg"
"58",-0.689753692514877,-0.384763017695835,2.82838240605796,-0.227896933620116,-0.250732409513292,-0.755819752031644,4.58503698230761,-0.654174958345119,-0.236413513175455,-0.231070919907038,-0.248960206781843,-0.39857873075227,-4.92327132040634,0.349761017602257,-0.0873231053632013,0.496221169626987,5.53816942498726,-0.585288633931154,-1.62183925334217,-0.318417583105087,-2.8699935559366
"62",-0.745794846145158,-0.150453116590732,-1.20014542319358,-0.208415211258798,-0.20851887056535,-0.00378995364740249,-3.86151206391575,-0.0597902677785144,-0.142030672826669,-0.494370502278,-0.512035796408407,-0.548359260777142,11.0863282140039,-0.637467880412813,-0.168892611746961,-0.364261546569638,-2.37097980415755,0.447686396228965,0.929944832837835,-0.131621257128004,8.81588070314391
"68",-0.264008728702484,-0.217325159842497,0.465226827670569,-0.296976612346997,-0.239742445475208,-0.622806252550352,-0.738388970498318,-0.234890794831514,0.0232497717215014,-0.341117230723934,-0.47613636455384,-0.373819467337051,-2.72996950741778,2.37285352784841,0.938016388916469,0.978859520136327,-1.03888282100034,5.08254691784462,-2.2424499771044,-0.735850004962216,0.507346620770822
"122",0.0269477699559117,0.41102678891652,-1.95580118107313,-0.156263246828025,0.128352463901522,0.422882154615683,2.70927793002001,-0.793130849224623,0.0342916172898288,-0.175523800453691,-0.387815103198526,-0.155869349354279,3.33926371567821,1.61600951240517,0.0825982038235991,-0.100366305190756,-3.91993678727345,1.00470339934586,3.56847869552267,-0.424822166219011,2.0482049183351
"128",0.0794620571011009,-0.205849263035857,-0.494802337149116,-0.183483673799467,0.0283901784648431,-0.305609966390816,1.0213245750794,0.914660002742235,0.189385672739407,-0.0945534870877534,-0.412141385593277,-0.251589005271591,-2.65115029470221,1.06759605899371,1.35101807037341,-0.00943685591951291,-1.21360228891276,9.21223772679665,-1.45362974440438,-1.09938026157296,0.237693754215067
"132",2.59392287715442,2.34039858363348,5.22050509506139,-0.334196571735963,-0.459185346884795,-0.976635270213797,-3.76190794284869,-1.35187799727995,-0.264724124456267,-0.800271664945861,-0.553678571863683,-1.74347684500695,-7.69036922219237,-1.85532224071556,-0.678788959601177,-0.898268697832163,-4.40156017347731,-5.14450843923248,-2.52540482098716,-1.1739843732336,-3.25821595560144
"138",-0.473751583016601,-0.257921949679625,-0.869165810042471,-0.0538023653795872,-0.175136633219903,-0.14498200481354,-0.985137805664082,-0.536906123968753,-0.103085840762966,0.715173107689042,-0.258676106831166,-1.14424283425084,-0.87138424721081,1.55009744219844,0.290081803445399,0.608149319225903,-1.23543687643225,0.704848351231441,-1.27583519912349,-0.419166521409196,2.22233654269857
"142",1.22969074571761,1.40200756171439,-0.468273849654336,-0.222681462714594,0.272668491571896,0.822248048987045,-2.44252939163746,-0.669109761422557,-0.124118419349798,-0.370623111461108,0.377607030756433,0.359844570370934,6.11683647306443,-0.510298811941295,-0.378165064171516,-0.227722813504573,-1.22073550974143,-0.681765769715127,-0.206125082299725,-0.359328399295771,4.00570887620853
"148",-1.01980590132819,-0.270603422544225,0.313374815978991,-0.222323398229205,-0.445432136702455,-0.479854139744527,2.42587054622082,-0.5679184461977,-0.0705010413392501,0.0903896609561671,-0.296007722683442,-1.19696223516039,-6.84007325712024,1.4617569569411,0.229602805887851,0.860091849295756,0.342136421662972,2.63162805580055,0.462574294471636,-0.812046501555128,-1.38419024452704
"71",-0.143101809299682,-0.21140810808158,-0.995133182772223,0.834402920370864,0.112932356515959,-0.328122100959291,-1.20386698071192,2.30328055636691,-0.158314286490006,-0.614660824246947,-0.117218871129253,-0.414366643733129,6.11407829442291,-1.1354033486517,-0.351849012359705,-0.542039693950325,-0.108305905710642,-3.44048630850733,1.9817597803785,0.382384195205289,0.8407121141383
