"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"X3.6072",-0.0029961,0.015634,0.040657,-0.023779,-0.013623,0.045407,-0.0079313,0.047411
"X3.62724",-0.0052788,0.0079465,0.037855,-0.036302,0.015199,0.038598,-0.041096,0.010024
"X3.64728",-0.011509,0.0044738,0.010268,-0.054015,0.026553,-0.0074493,-0.043782,0.035493
"X3.66732",-0.039825,0.096351,-0.037023,-0.092172,0.016132,0.056604,0.027454,0.025965
"X3.68736",-0.0038053,-0.0012633,0.052133,-0.042987,-0.0027325,0.02306,0.0041848,0.048775
"X3.7074",0.0024431,-0.001644,0.060619,-0.043577,-0.0027975,0.047113,0.0088861,0.035931
"X3.72744",-0.0068148,0.029059,0.011709,0.0043623,-0.015291,0.054186,0.01206,0.043945
"X3.74748",-0.0025018,0.030236,0.044575,-0.01408,0.0055206,0.027101,-0.016285,0.049527
"X3.76752",-0.0060012,0.0073075,0.016062,-0.039909,0.015394,0.017542,-0.024849,0.027735
"X3.78756",-0.004468,0.012706,0.014122,-0.036612,0.0008151,0.014053,-0.029501,0.013161
"X3.8076",-0.0044312,0.0072288,0.030896,-0.033364,0.014415,-0.018405,-0.033646,0.0077696
"X3.82764",-0.0046493,0.0067992,0.025178,-0.030988,0.013734,0.026701,-0.015382,0.035336
"X3.84768",-0.0019158,0.0085516,0.017544,-0.014047,-0.00036228,0.034061,-0.011112,0.043786
"X3.86772",-0.0016374,0.0076757,0.006445,-0.010767,-0.0028084,0.028446,-0.033016,0.037026
"X3.88776",-0.0017794,0.0070142,0.0065464,-0.012258,-0.0022422,0.029063,-0.036785,0.032433
"X3.9078",-0.0023976,0.014184,0.0094067,-0.014473,-0.0098318,0.031584,-0.03455,0.040045
"X3.92784",-0.0048087,0.028421,0.025738,-0.025699,-0.026525,0.023919,0.0042628,0.072788
"X3.94788",-0.0032907,0.020589,0.010331,-0.017285,-0.022638,0.0246,-0.019781,0.056329
"X3.96792",-0.0042687,0.023199,0.014329,-0.015614,-0.019796,0.028903,-0.028989,0.049398
"X3.98796",-0.0035346,0.019032,0.022552,-0.017871,-0.018667,0.02298,-0.034558,0.049875
"X4.008",-0.0021911,0.01621,0.016511,-0.017144,-0.019737,0.012079,-0.035105,0.04113
"X4.02804",-0.0038187,0.012625,0.016702,-0.012036,-0.0021287,0.023771,-0.048284,0.031243
"X4.04808",-0.003807,-0.0079735,0.066131,-0.051942,-0.0074317,0.074265,-0.053833,0.0055071
"X4.06812",-0.0049203,-0.012497,0.029943,-0.031291,-0.0010085,0.080221,-0.061719,0.036248
"X4.08816",-0.005211,-0.0062132,0.0059362,-0.012727,-0.00068992,0.055207,-0.057814,0.065083
"X4.1082",-0.0065077,-0.013789,-0.0016667,-0.0090601,0.0018919,0.019037,-0.092886,0.073207
"X4.12824",-0.022619,-0.0090807,-0.13338,0.15891,-0.04548,0.038989,-0.085748,0.07763
"X4.14828",-0.031723,0.041336,-0.226,0.2928,-0.11996,0.029435,0.047432,0.0052882
"X4.16832",-0.0071084,0.02847,-0.0076642,0.029981,-0.026029,-0.079903,0.0965,0.055083
"X4.18836",-0.0054608,0.018578,0.00065217,0.0084084,-0.013452,-0.025792,0.052767,0.042753
"X4.2084",-0.0045927,0.021095,0.016994,-0.012618,-0.020972,-0.0090809,0.03891,0.07035
"X4.22844",-0.0044826,-0.0042843,-0.0054018,0.0050343,0.0080073,-0.0027945,-0.0010653,0.05749
"X4.24848",0.005892,-0.033414,0.026281,-0.019118,0.016345,0.019779,-0.040864,0.030703
"X4.26852",-0.0084831,-0.037255,-0.039844,0.030942,0.012017,0.00588,-0.10669,0.099436
"X4.28856",-0.032696,0.02452,-0.24149,0.30228,-0.11125,0.020559,-0.00070354,0.0024914
"X4.3086",-0.008688,0.022705,-0.095701,0.14648,-0.05883,-0.0099609,0.10424,0.0032627
"X4.32864",0.001063,0.014086,-0.011134,0.034242,-0.032866,-0.046102,0.085966,-0.0017611
"X4.34868",0.0027078,0.020535,-0.0017446,0.010156,-0.037036,-0.045903,0.06673,0.011289
"X4.36872",0.001575,0.02597,-0.0021433,0.013585,-0.047653,-0.044546,0.042824,0.017865
"X4.38876",0.0020465,0.033598,0.015752,0.0066828,-0.04407,-0.036224,0.036536,0.016044
"X4.4088",-0.00080421,0.032067,0.020928,0.0042144,-0.029252,-0.013304,0.030334,0.013484
"X4.42884",0.001182,0.012342,0.013084,0.0094658,-0.012258,-0.013571,0.03319,0.0077647
"X4.44888",0.00044275,0.010332,0.0050552,0.004588,-0.0064574,-0.022654,0.026713,0.0051159
"X4.46892",-0.00090244,0.01147,0.0036833,0.00074534,-0.0022401,-0.017742,0.017584,-0.0044339
"X4.48896",-0.00097061,0.0091888,-0.00070211,-0.0028175,0.0027678,-0.019273,0.016661,-0.00034152
"X4.509",-0.0021768,0.007446,-0.00045737,-0.0064124,0.0027122,-0.01609,0.015432,-8.4321e-05
"X4.52904",-0.0023054,0.0090477,-0.0040708,-0.0077797,0.00055026,-0.016277,0.011854,0.0023117
"X4.54908",-0.0020928,0.012451,-0.0034436,-0.0065129,-0.0044662,-0.012508,0.0084073,-0.0017194
"X4.56912",-0.0024552,0.0060691,0.0010745,-0.0044894,0.00040406,-0.0060541,0.0010616,-0.011694
"X4.58916",-0.0017119,0.0011082,0.010687,-0.0016947,-0.0031918,0.011665,-0.0056183,-0.0032326
"X4.6092",0.00082662,0.0013361,0.021021,0.0079803,-0.0090696,0.036635,-0.015189,0.0059377
"X4.62924",-0.00012221,-0.0013014,0.012791,0.0062481,-0.0028823,0.018312,-0.0047508,-0.0026975
"X4.64928",0.0026318,-0.011168,0.019531,-0.0021599,-0.0021247,-0.0063854,0.00086897,-0.016188
"X4.66932",0.0050763,-0.010792,0.024045,-0.0044607,0.0016835,-0.0016251,0.0033887,-0.017576
"X4.68936",0.001527,-0.0056108,0.011364,0.0016608,0.0022239,-0.001711,-0.0033447,-0.011727
"X4.7094",0.0028083,-0.007102,0.019358,0.00035344,-0.0004386,-0.011042,0.0031522,-0.021038
"X4.72944",0.0019214,-0.0096361,0.01008,0.0021406,0.0017365,-0.012339,-0.0078682,-0.013219
"X4.74948",0.00030412,-0.0078853,0.0027088,0.0011485,0.006723,-0.0063297,-0.0092781,-0.0080885
"X4.76952",0.00033472,-0.0069358,0.0036912,0.0024799,0.0082613,-0.00083119,-0.0061234,-0.0078501
"X4.78956",0.00019333,-0.0087583,0.00082896,-0.0018371,0.010807,0.001895,-0.013796,-0.014969
"X4.8096",0.00012594,-0.0092654,0.0014278,0.00055809,0.011895,-0.00054939,-0.011686,-0.012751
"X4.82964",0.00046774,-0.010528,0.00087827,-0.00010532,0.010425,-0.0043468,-0.011967,-0.01156
"X4.84968",0.00033608,-0.0076088,0.005108,0.0021455,0.010077,0.0019659,-0.01056,-0.0064295
"X4.86972",0.00028127,-0.0098595,0.0017213,0.0020062,0.01059,-0.0019469,-0.013807,-0.0067063
"X4.88976",0.00036051,-0.010784,0.0024941,0.0030926,0.0094763,0.0044248,-0.01233,-0.0019818
"X4.9098",0.00021824,-0.00981,0.0016327,0.002938,0.012072,0.0034415,-0.016582,0.0038149
"X4.92984",-0.0022929,-0.0022249,0.0034746,0.00062498,0.014961,0.014166,-0.0019199,0.010916
"X4.94988",-0.00073248,-0.0072597,0.00083787,0.003108,0.0117,0.0057364,-0.017462,0.0089574
"X4.96992",-0.00066845,-0.010191,-0.00021852,0.0015338,0.012254,0.010438,-0.023638,0.0060141
"X4.98996",-0.00029372,-0.0089525,-0.0010908,0.0057468,0.013087,0.00718,-0.022026,0.017017
"X5.01",-0.0001717,-0.0098582,0.00060788,0.005269,0.012464,0.0095395,-0.028461,0.020897
"X5.03004",-0.00031518,-0.0079344,-0.0022492,0.0067037,0.012194,0.012986,-0.03065,0.029205
"X5.05008",0.00075894,-0.014326,0.0023642,0.0077579,0.012539,0.016953,-0.031743,0.029534
"X5.07012",-0.00039099,-0.015155,0.0010305,0.016949,0.013971,0.029806,-0.022614,0.03603
"X5.09016",-0.0032569,-0.010144,-0.0047445,0.022302,0.013946,0.043498,-0.03113,0.042918
"X5.1102",-0.001499,-0.013614,0.0025825,-0.002372,0.0074696,-0.089615,-0.032112,0.046484
"X5.13025",-0.0019058,-0.01253,-0.020707,-0.011407,0.0036135,-0.18232,-0.02716,0.046579
"X5.15029",-0.00081173,-0.014458,-0.0093543,0.0053227,-0.002452,-0.052287,-0.05066,0.052765
"X5.17033",-0.0032052,-0.017302,-0.015188,0.0023947,0.012315,-0.0135,-0.067845,0.036646
"X5.19037",-0.0027101,-0.024128,-0.020422,0.018482,0.0035384,-0.0016998,-0.071621,0.056926
"X5.21041",-0.0038357,-0.020574,-0.022166,0.016216,0.0043673,0.0058289,-0.083422,0.07708
"X5.23045",-0.0066138,-0.017605,-0.026209,0.025488,-0.0009231,0.0070051,-0.092681,0.084146
"X5.25049",-0.020115,-0.0068285,-0.12737,0.1578,-0.043709,0.01822,-0.055903,0.046415
"X5.27053",-0.019953,0.010888,-0.13963,0.18853,-0.060358,0.0031768,0.0051527,0.028209
"X5.29057",-0.0090918,-0.049199,0.011395,0.0072663,0.031918,-0.051822,-0.11052,0.097621
"X5.31061",-0.037321,-0.029845,-0.032448,0.045976,0.018464,-0.054622,-0.14582,0.1134
"X5.33065",-0.10547,0.04145,-0.13151,0.10094,0.019238,-0.048782,-0.11434,0.035895
"X5.35069",-0.12639,0.082256,-0.10382,0.042411,0.078122,-0.06663,0.034455,-0.081889
"X5.37073",-0.096971,0.068886,0.03988,-0.065773,0.1135,-0.069874,0.10719,-0.053777
"X5.39077",-0.069025,0.056879,0.06599,-0.082991,0.096273,-0.11841,0.16511,-0.062973
"X5.41081",-0.024131,0.021633,0.073141,-0.067262,0.043543,-0.17419,0.17271,-0.019509
"X5.43085",-0.0070551,0.0050641,0.031455,-0.029837,0.0037169,-0.19324,0.16326,0.011166
"X5.45089",-0.0038999,0.005162,0.019245,-0.019343,-0.0063592,-0.18737,0.14555,0.024632
"X5.47093",-0.0014766,0.0020087,0.012478,-0.011228,-0.0075619,-0.15848,0.11945,0.023752
"X5.49097",-0.00081407,0.0020586,0.0109,-0.010838,-0.0069547,-0.13947,0.10742,0.016819
"X5.51101",-0.00070855,0.007108,0.010204,-0.0085563,-0.0064331,-0.12065,0.1002,0.019045
"X5.53105",-0.00088103,0.011137,0.0083546,-0.0063591,-0.0049008,-0.10409,0.090837,0.012394
"X5.55109",0.001217,0.011063,0.011541,-0.00050229,-0.0076647,-0.082616,0.083604,0.0045722
