"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"X3.32664",0.053066,0.32561,-0.17416,-0.091456,0.048589,0.15256,0.17841,-0.75303
"X3.34668",-0.18696,-0.079299,-0.26189,0.45183,0.24168,-0.44441,0.10397,0.03899
"X3.36672",-0.17124,-0.070774,0.33084,-0.010831,-0.45302,0.3869,-0.14595,0.13578
"X3.38676",-0.10349,0.039059,0.14927,-0.27044,0.31305,0.075208,-0.34451,-0.060812
"X3.4068",-0.04152,0.036353,0.01693,-0.01347,0.026225,0.026002,-0.10197,0.041218
"X3.42684",-0.064177,0.021944,0.035081,-0.053148,0.1872,-0.077842,0.018794,0.023631
"X3.44688",-0.069575,0.0037454,0.087881,-0.09544,0.1686,-0.049495,0.00034978,0.047124
"X3.46692",-0.046239,0.033688,0.054559,-0.10395,0.15445,-0.026694,-0.050773,0.093961
"X3.48696",-0.04605,0.018668,-0.002957,-0.098514,0.11441,-0.0075238,-0.1077,0.043396
"X3.507",-0.092382,0.026279,-0.11831,0.054816,0.10784,-0.1436,0.067374,-0.030952
"X3.52704",-0.10792,-0.049617,0.12185,-0.18828,0.01666,0.13406,-0.1358,-0.028767
"X3.54708",0.025747,0.09133,-0.044727,-0.05785,0.078265,-0.017462,0.008897,-0.0025558
"X3.56712",-0.065805,0.044032,0.013413,-0.037606,0.0076003,-0.071101,0.04585,0.066739
"X3.58716",-0.1025,0.050619,0.013391,-0.0047947,0.0088871,0.011903,-0.044615,0.017423
"X3.6072",-0.053912,0.071404,-0.0099193,-0.094843,0.072854,-0.011501,0.0088402,-0.083027
"X3.62724",-0.1018,0.028235,-0.019472,-0.0145,0.001418,0.064227,0.0074306,-0.03519
"X3.64728",-0.090225,0.098366,-0.0019729,0.045793,-0.038491,0.055766,-0.064678,0.03291
"X3.66732",0.0080642,0.1667,-0.069422,-0.081136,0.077686,0.013034,0.040506,-0.093513
"X3.68736",-0.096609,0.049115,-0.098664,-0.0067762,0.27344,-0.23135,0.13105,0.070531
"X3.7074",-0.076653,-0.054893,0.085139,-0.071646,-0.030171,0.039276,0.023128,0.17257
"X3.72744",-0.068327,0.097864,0.046653,-0.1892,0.20101,-0.051941,0.052775,0.065319
"X3.74748",-0.1281,0.042807,-0.0037077,-0.098076,0.02709,-0.007338,0.055576,-0.022099
"X3.76752",-0.050372,0.054795,-0.076458,-0.028237,0.077314,-0.10446,-0.023376,0.08117
"X3.78756",-0.11245,0.023302,0.016546,-0.091225,0.021927,-0.055291,0.075684,0.11836
"X3.8076",-0.13051,0.042826,0.076876,-0.18098,0.18064,-0.070923,-0.013738,0.062637
"X3.82764",-0.051552,0.081164,0.025248,-0.09311,0.10904,-0.055195,-0.0052183,0.059966
"X3.84768",-0.18911,0.12012,-0.01654,-0.11726,0.067338,-0.0033793,0.13285,-0.020184
"X3.86772",-0.13857,0.080656,-0.026558,-0.036276,0.015956,-0.078844,0.091648,0.034041
"X3.88776",-0.10564,0.03339,-0.053529,-0.0065532,-0.05642,-0.0037216,-0.025159,0.040399
"X3.9078",-0.074454,0.034815,-0.089863,0.0092338,0.015502,-0.036589,-0.04473,0.0049736
"X3.92784",-0.048801,-0.047029,-0.038436,0.10844,-0.10683,0.013307,-0.0082818,0.033592
"X3.94788",-0.029311,-0.021831,0.060292,-0.10687,0.061472,0.069408,-0.16092,0.068522
"X3.96792",0.025336,0.045348,-0.014246,0.0073204,0.0051407,0.031471,-0.06888,0.067973
"X3.98796",0.035963,0.042892,-0.032764,-0.0078908,-0.00262,0.059276,-0.022608,0.016217
"X4.008",0.01783,-0.05925,-0.029014,0.060603,0.026161,0.023035,-0.031176,0.066983
"X4.02804",-0.011999,-0.041656,0.051534,-0.088254,0.072702,0.0039817,-0.1178,0.10241
"X4.04808",0.033247,-0.08043,0.068768,0.025786,-0.0023892,-0.035023,-0.046281,-0.042635
"X4.06812",-0.099134,0.040939,-0.055351,0.041513,-0.025003,0.042748,-0.035421,-0.13446
"X4.08816",-0.069043,-0.058417,0.036748,-0.0056676,-0.016292,0.10718,-0.13745,0.0242
"X4.1082",0.011008,-0.011132,0.0080241,0.03964,-0.017244,0.10388,-0.1363,0.030124
"X4.12824",0.026645,0.027426,-0.056492,0.081404,-0.019029,0.052732,-0.075836,0.022213
"X4.14828",0.022984,0.078058,-0.05754,0.056293,0.020934,0.001541,-0.037121,0.037567
"X4.16832",0.010437,0.073464,-0.027605,0.031675,0.011679,0.042158,-0.05624,0.056993
"X4.18836",0.024166,0.05075,-0.055489,0.073583,-0.00093316,-0.019227,-0.028486,0.086823
"X4.2084",0.038272,0.069718,-0.0098489,0.033348,-0.0059956,0.0050418,-0.067679,0.061784
"X4.22844",0.033237,0.011502,0.01609,0.065953,-0.086151,-0.046942,0.02596,0.051377
"X4.24848",0.013228,0.007295,0.018594,0.022163,-0.12367,-0.10811,0.10526,0.026007
"X4.26852",0.032671,0.055847,-0.030443,0.014892,-0.034823,-0.02388,-0.052757,0.040522
"X4.28856",-0.047631,-0.007039,-0.034089,0.11958,-0.11677,0.079047,-0.03545,-0.017015
"X4.3086",-0.018673,0.0453,-0.024279,0.061647,-0.041562,0.028664,-0.053476,0.053844
"X4.32864",0.025529,0.071505,-0.039989,0.052366,-0.038016,-0.0047582,-0.037826,0.059589
"X4.34868",0.028882,0.075073,-0.029029,0.034919,-0.030114,-0.018712,-0.036867,0.054546
"X4.36872",0.051158,0.080617,-0.048683,0.064997,0.0094892,0.0054973,-0.025779,0.054132
"X4.38876",-0.028825,0.051201,-0.055864,0.039714,-0.11569,-0.030527,0.04119,0.049599
"X4.4088",-0.06133,0.025386,-0.0099032,0.057784,-0.10018,0.031047,-0.022443,0.053681
"X4.42884",0.010165,0.020312,-0.017017,0.024997,-0.027582,0.013701,-0.061145,0.063854
"X4.44888",0.0086938,0.01223,-0.014398,0.025324,-0.031894,0.019387,-0.070321,0.057801
"X4.46892",0.019743,0.035866,-0.014785,0.016038,-0.047782,-0.0099174,-0.045393,0.05643
"X4.48896",0.011393,0.021874,-0.0045657,0.0046023,-0.038563,-0.0010733,-0.062818,0.057614
"X4.509",-0.0032191,0.017308,0.0070507,-0.0099331,-0.038847,-0.020828,-0.064663,0.05265
"X4.52904",-0.015578,0.0459,0.015392,-0.018262,-0.050934,-0.036986,-0.073694,0.037976
"X4.54908",0.00090643,0.045259,0.013038,-0.057015,-0.044328,-0.07393,-0.058291,0.039617
"X4.56912",-0.0025002,0.029444,0.014943,-0.068025,-0.045733,-0.086995,-0.061896,0.034814
"X4.72944",-0.051163,0.020232,0.008761,0.013907,-0.10348,-0.026398,0.048702,0.049823
"X4.74948",-0.0044012,0.049524,-0.029479,0.018881,-0.072684,-0.015425,0.031209,0.023826
"X4.76952",0.035099,0.07719,-0.040856,0.0045065,-0.053125,-0.045796,-0.0039919,0.039862
"X4.78956",-0.015016,0.013472,-0.00032127,0.010159,-0.02751,0.017706,-0.0044984,-0.0027169
