"","M250T42_pos","M74T44_pos","M108T41_pos","M188T297_pos","M166T45_pos","M74T42_pos","M245T46_2_neg","M267T217_neg","M145T253_neg","M137T293_neg","M157T43_2_neg","M199T46_neg","M258T41_neg","M105T47_neg","M115T128_neg","M131T216_neg","M171T43_2_neg","M282T218_neg","M135T43_2_neg","M347T101_neg","M173T36_neg","M131T38_neg","M132T39_neg","M130T119_neg","M147T79_neg","M664T67_neg","M122T103_neg","M164T229_neg","M263T286_neg","M124T38_1_neg","M136T105_neg","M151T114_neg"
"59",0.045340441118365,2.65298863086128,0.736937050353142,-1.1064988477023,0.422961653970793,1.89907002964347,1.39212988732807,1.85148207793068,-0.244401866162219,-0.133166463298219,0.0691336238019495,0.111603710349234,1.94062902680272,-0.462502418443132,-0.216342621726834,-0.280479321047674,3.72049749513765,-1.5486526865461,-0.00730389412780042,4.14378159100708,1.04281654801374,0.289934008107341,1.02891454199069,-0.649683172821416,-0.387432163888319,-0.148918168664757,-0.108771855004773,-1.08378718302494,-0.187613078421068,3.16616190874943,-0.0111234705584932,4.37848731967036
"63",-0.0501130211043749,3.54659793063849,-0.876242872048418,1.49392247093466,0.797302049893287,-0.473450146543355,-0.241438199621506,-1.75001720453222,-0.262717996432283,-0.170051874952651,0.0661702134891133,-0.183594575505566,0.0326210339561438,-0.514167980189429,-0.134239918597333,-0.214231592103352,1.01426385876076,0.915744303690048,-0.536909865602328,2.61050537110712,-0.842856264619497,-0.240421757038281,0.118409595904412,-0.0261524920154634,-0.388273582010311,0.125669844556566,-0.4052349957352,0.369398952486851,-0.337143086251075,-4.00786232720269,-0.0836771439242467,3.11412070561732
"69",-0.251621519363945,0.739276762982005,-0.373772418597891,0.0243733384512366,-0.09619447964033,1.62102921015184,0.868135811572592,-0.337965341572729,-0.423422949691489,0.36680784476631,-0.0534705263965365,-0.160935487408884,0.5923840387481,-0.51904288666149,-0.246657822063755,-0.0622894493467328,-0.238213851592892,-1.72571411884632,-0.106396586455935,-1.95469580604042,0.217257578418963,-0.355797910789662,0.718768822639757,-0.673295170001264,-0.477243116896596,-0.0804336909825044,0.710604362649497,-0.749878580013865,-0.465146501039541,0.289764247853652,-0.073334376547646,-2.40769214825097
"123",0.126063848840196,1.84827926845834,0.0291807060924089,2.19726727019222,1.35719475563273,0.0792780706446263,-0.854349429015656,-3.05499658406217,-0.357837454049323,-0.194900562916786,0.077143375116921,-0.279659444430789,-0.988025701373615,0.197055398215502,-0.197204528409103,-0.279333336017728,0.312276626580612,0.937891159449896,0.229064106647907,-2.12467193908761,-0.294677083646146,-0.157760538311815,0.056130126267263,0.356692552843501,-0.35907129624858,0.124049549280225,-0.226712071667065,0.969921564036748,-0.413643782488377,-2.34451334554395,-0.095958131361016,0.546876308290051
"129",1.89455452827191,0.888000507314758,8.65975151698649,0.307706698820736,2.31586587633463,1.98067205259231,1.22160891993209,-6.09633546259063,1.18719816869313,2.80139943128482,2.2573707869397,2.97748191761194,3.02550659251047,1.45195491915402,2.65575033952022,5.07877428333826,-1.25248267868604,-4.10186836620742,5.5181343208129,-10.212099098184,7.96875853633544,2.64699275673138,1.67618483412126,1.19792429616196,5.4277927437512,-0.343452279666763,1.97979970760546,-3.29837935160628,0.834367870871951,31.3664372540951,1.47378827688101,-2.24753334843111
"133",0.0983218395876228,1.86476548424381,0.0210037428601159,0.323277895072014,-0.102809458013872,-0.0154457713903719,-0.496034378309954,-3.38817547192616,-0.322031646965875,0.0206411709837554,0.778631699583595,-0.0477203984624926,-0.0958120881891764,-0.555895105296349,-0.155308399237201,-0.30497176223927,1.19335934060753,2.16131524409432,-0.49198703770149,3.20045012584116,-0.621931545407605,-0.22463631750624,-0.0522014983152207,0.451024337199126,-0.348947928834524,-0.186079142966504,-0.24622759669454,0.281266678262856,-0.275722027984413,-1.16619504519115,0.104279136558741,1.09821337117159
"139",-0.0793298224096734,1.46308613844897,-0.738341540183734,-0.049784852837063,0.144621017426007,0.114511765146117,0.671537430285558,-3.21598624405053,-0.254082539281667,-0.197296173402803,0.379508122290619,-0.324461406375476,1.12169671279001,-0.218673412082191,-0.0808306722098307,-0.293081976356262,2.36534802901988,-0.805881977948303,-0.0767888277969597,-0.791683116184367,0.26560799795605,-0.0696178641967422,1.15677813350326,-0.528669394067144,-0.388010372406493,0.492422645364563,0.224710843768183,-0.85270309217888,-0.0836864408938696,-0.0506764214717666,-0.0193097592256712,-0.420481960013433
"143",-0.019635070543342,0.039874520082743,-0.849500204077222,1.34773563678361,-0.516699834502315,-0.562997134553405,-0.996480026459467,-4.3806859526506,-0.297368325623342,-0.107561693697884,0.661659077621756,-0.161709257104141,-0.876760660197533,-0.39185914141094,-0.111143300218495,-0.276323090672056,0.440196289003956,2.47996284077281,-0.557990330970277,-0.822290827801325,-1.28780197267489,-0.097039343693827,-0.101879863961558,0.83727556175227,-0.489527795411896,0.528168417821465,-0.557556265206581,1.0201495499124,-0.283373812851037,-2.14258618085811,-0.0484572910647416,-0.675746065402411
"149",2.16660544258781,1.85170717913848,7.78541118309061,0.826993264004131,5.58688789349061,3.81838204962471,0.839258268724643,-11.4778185298971,3.15478878084259,2.08335982516083,2.56845051918256,3.62444959059153,1.95155504079022,0.929178773226896,2.56000580331808,4.36036295859176,1.38929751943156,-2.76259875789967,3.72485493504788,-10.7368690481856,6.10955690033265,2.88901672019748,2.27628179690168,0.411850882268307,4.70910972386598,-0.282175984602355,2.12490732772227,-2.79974201728203,1.4836874940245,25.9616591546546,1.3007336159923,-2.12201625714625
"151",-0.0399150941590395,0.488968748856739,-0.479173772032806,0.483971471972195,-0.619610775965215,-0.511924151413861,-0.601901486519317,-2.1074331386711,-0.355378584690672,-0.242450518773855,0.107996061868862,0.237013302816077,-0.219031213462774,0.0343392088469714,0.193692840540992,-0.400460229380819,1.3853574820726,0.0423350855622811,-0.273166032859178,-3.78135034740114,-0.109411600561856,-0.139493969789911,0.494499608222555,0.41713494649482,-0.284466720903354,-0.321317552534577,-0.481274722268992,0.0971496893421475,0.348661414866733,-0.949516118307956,-0.0309939471949276,0.515846331455412
