"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"94",8.466,1.3583,12.196,0.16367,6.5279,4.9772,1.8103,-2.7873,2.1525,2.1931,0.52547,0.15237,1.541,-1.7979,-2.669,-2.6453,0.98508,-0.97808,0.69641,-0.01689,0.76244,-2.5782,0.90946,0.78771,0.66271,-0.22172,-0.21388,-0.65466,1.066,-0.29748,-0.495,-0.12813,0.48784,0.2119,-0.066889,0.066689,0.31721,-0.36278,0.2166,2.2192e-15
"98",-4.5307,-4.5113,-3.9442,-4.5692,-2.9885,0.25021,1.1632,5.2057,6.2014,0.51853,-1.1185,2.2736,-1.748,1.0566,-2.7221,-1.6368,-2.482,-0.24603,-0.97121,-1.7602,-0.51931,-1.2208,-0.99637,-0.77621,0.56379,0.33881,0.084209,0.10965,-0.43014,0.016385,-0.25937,0.19734,-0.63228,-0.82749,0.54079,0.045224,0.039075,-0.428,0.038947,8.9103e-16
"104",1.4123,13.379,-7.0266,-3.5396,1.2416,0.92903,1.1714,-0.31039,3.2576,0.66572,-0.97464,-2.9629,-0.70812,0.59647,-0.72861,1.4279,-1.767,1.3254,-1.093,2.5897,0.048587,1.3337,-0.51013,0.93037,-0.41352,0.91596,0.44547,-0.1472,0.76269,-0.13636,-0.36147,0.38957,0.49599,-0.12316,-0.50387,-0.89638,-0.007099,-0.5375,-0.02693,1.2805e-15
"113",-6.5019,-3.856,-3.8807,-4.9844,-2.7391,0.16018,2.8522,7.4208,2.4859,3.9753,1.3632,2.7149,-2.8898,-3.7948,-0.3452,4.1312,0.38521,-0.69276,0.33329,-0.24513,0.53484,-0.26772,0.93121,0.63999,0.30042,-0.34162,-0.081114,0.37811,0.15997,0.41192,0.37048,-0.16596,0.086794,0.75025,-0.37369,-0.072503,0.014891,0.26452,0.15299,-1.1074e-15
"119",-2.9673,6.9842,-7.6411,1.4668,0.73074,1.0862,7.4143,0.96101,-6.2734,-1.5986,-1.4992,-1.0844,-0.56526,-3.4906,-1.3804,-0.57149,-1.5712,1.6756,0.3436,-1.1027,0.91239,0.63242,-2.0113,-0.35293,-0.081136,-0.64133,-1.4138,-0.45001,0.10314,0.43423,-0.48729,0.1302,0.12187,-0.19239,-0.31817,0.40602,0.32217,0.039828,-0.1019,3.6713e-16
"156",0.052506,-8.1394,0.71043,5.2374,12.271,-1.8302,-3.0529,8.0056,0.13256,-5.2694,-0.37361,-0.82975,-2.9047,-1.6197,0.54408,-0.46533,0.14233,-1.6098,0.7774,2.418,-0.78461,-0.48625,-0.87354,-0.082628,-0.40476,0.33699,0.0091223,-0.20919,-0.56096,-0.43224,0.083947,-0.25566,0.0073958,-0.053161,0.13539,-0.065406,0.030535,0.10403,0.12637,-7.21e-17
"162",0.45798,1.4599,-4.1004,-1.1905,3.8188,1.7966,3.0679,-0.90011,2.0451,0.57811,2.9477,-2.2282,0.70242,0.38857,0.0063863,0.32571,0.97703,1.9512,-0.11605,0.082391,0.69529,-1.2404,-0.37508,-0.61768,-2.2675,0.54203,1.0536,0.53518,-0.39419,1.0207,0.64847,-0.27496,0.34189,0.15264,0.22259,0.87204,-0.23397,-0.38246,-0.097677,2.8095e-16
"170",-7.8554,-10.77,-3.5665,-1.6311,6.1827,-0.032616,-2.3207,1.6483,-1.8838,2.3576,-2.1709,-2.4531,2.7338,-0.73078,0.97037,-0.32424,0.085442,1.7038,-0.27122,-1.4023,-1.4831,1.0675,0.45303,1.811,1.2322,-0.14143,0.46035,-0.13572,-0.337,-0.52247,0.91933,0.3287,-0.6398,0.27047,-0.11225,0.29868,0.27869,-0.56959,-0.21919,2.9677e-15
"176",-0.69001,11.256,-6.1344,1.1661,0.5495,0.99432,2.7243,1.9572,3.1353,0.84427,-1.1525,-2.0022,2.0385,1.6162,1.0358,0.97911,2.1816,-0.55647,0.34683,-0.36979,-1.3485,-0.2829,-0.034092,1.2423,-0.054097,-0.34982,-0.20603,-0.26444,0.023153,0.41257,-0.0211,0.7513,0.55254,-0.38253,0.92844,-0.039045,0.62311,0.8507,-0.050724,-5.4647e-16
"180",-6.2639,-9.4676,-4.6105,-8.0331,-3.4437,-0.049459,-1.5648,-4.3972,-3.5109,-2.2358,-5.4005,-0.13006,-3.359,-1.4783,1.8616,-0.54362,1.347,-1.3925,0.76902,-0.89117,1.905,-1.0888,0.2195,0.31375,-0.32273,0.60623,1.3451,-0.6603,0.36703,0.047387,0.43818,0.12119,0.31483,-0.43608,0.16513,-0.2458,0.033275,0.024998,-0.059715,4.9743e-16
"186",2.8749,10.547,-6.1984,-0.27756,-0.77203,2.0084,-0.57876,-3.421,-0.83721,-1.1944,-1.3898,-2.2232,-0.52674,1.8742,0.37014,3.0204,1.085,-0.68223,2.6446,-1.0849,-1.5265,-1.0097,-0.63633,-0.34368,0.3378,1.1216,-0.94123,0.13618,0.36791,0.078784,-0.26702,-0.86328,-0.94711,0.51759,0.18269,-0.13556,-0.056549,-0.29107,0.35413,-6.1864e-16
"190",-3.078,-15.47,-2.1813,-1.8793,4.955,5.5867,-4.2501,-0.46857,-0.22923,2.6376,1.7586,-1.0794,2.3475,-0.49326,2.2675,0.72076,-1.712,-1.675,-0.92378,-1.788,-1.1008,0.39478,-0.65706,-2.4538,0.070971,1.0394,0.087171,-0.040442,0.7753,0.056815,-0.56361,0.17741,0.51739,0.049796,-0.32358,-0.076272,-0.068906,0.40535,-0.1494,8.4059e-16
"196",-2.6419,1.1702,-6.3512,4.4532,-1.8186,3.2938,1.0374,-1.5389,-0.50396,-0.48296,4.575,1.9098,0.54055,3.031,0.80156,1.0614,-0.92348,-1.0692,1.1232,-0.30233,0.53967,-1.1044,-1.0758,-0.19225,-0.052401,-1.3025,0.91931,-0.60919,-0.70194,-0.6979,0.70613,-0.034046,0.0087494,-0.2847,-0.86567,-0.28732,0.65225,-0.078944,0.12125,-1.5507e-15
"199",-2.496,-10.721,-4.0509,-3.6446,-3.5081,4.087,1.7591,-2.2512,0.52131,-2.6977,1.5694,1.3215,0.14499,-0.7008,-0.65975,0.027259,0.67198,1.9696,-0.34151,1.8709,-0.41799,-0.043526,0.1574,-0.21142,-0.28303,-0.3109,-0.055412,1.1653,1.0929,-1.5015,-0.15942,-0.65408,-0.39786,0.040557,0.40005,0.10274,0.43999,0.28918,-0.55304,1.5414e-15
"203",5.8997,4.459,-3.3905,3.4159,3.0046,2.9734,-1.0891,1.1295,-2.2903,-3.6859,0.67514,-1.4952,-1.266,2.1954,-3.9039,1.4774,1.004,-2.3293,-3.1223,-2.2444,1.6733,1.3068,2.146,0.14943,-0.3819,0.060614,-0.16275,0.40109,0.12795,-0.26237,0.084727,0.025694,-0.098181,0.042658,-0.010944,0.050381,0.042892,-0.0020138,0.00022885,-1.6755e-15
"207",-6.6455,-13.277,-4.2969,-0.91322,-0.48389,2.3461,-3.0451,-1.2666,-3.3871,-0.40182,1.7551,-0.10172,1.79,0.3322,0.0059492,1.4845,-0.28138,0.73973,-1.4587,1.4064,0.62634,-0.02055,-0.76198,0.049061,0.96816,-1.848,-0.27766,0.019713,0.26272,0.58481,0.07675,-0.13368,0.36244,-0.072475,0.96918,-0.30272,-0.48258,-0.29555,0.59597,1.0428e-15
"212",1.0187,-16.043,-2.3677,-0.28177,-1.0058,6.0694,-0.41857,-1.797,-0.15003,1.0971,0.67988,1.8494,-0.93069,1.1561,1.1031,-0.40292,1.0082,1.8602,-0.58097,1.7615,0.28309,0.29947,1.9243,0.42924,-0.6313,1.0101,-1.23,-1.2455,-1.1444,0.67305,-0.63847,0.22588,-0.63239,-0.26825,-0.28613,0.095986,0.2282,0.11645,0.18715,1.7348e-15
