"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43"
"161",-44.98,-18.721,-1.6881,7.9374,0.92803,-2.7121,-1.561,4.7752,1.774,-3.7786,2.73,4.7615,2.0927,0.75798,-1.3464,0.42296,1.7943,0.80447,-2.6415,-0.95955,0.59249,-0.50794,-0.62066,0.34696,-0.032335,-0.31787,-0.079549,0.72493,-0.35979,-0.097568,0.34973,-0.27888,-0.2297,0.28099,-0.18289,0.029724,-0.11472,-0.091905,-0.0032255,-0.0065516,-0.062814,0.015155,-1.0783e-15
"169",10.378,-4.0107,-16.591,-3.6709,3.7298,-5.1492,-3.069,-1.3475,1.8939,-0.30412,2.4063,-0.15469,0.11008,-0.21047,0.75841,1.3059,2.2329,0.4773,0.69697,-0.32343,-2.1899,-0.11198,3.3038,1.305,-1.0881,0.11001,-0.2733,1.0885,0.65263,1.0981,0.59692,0.017751,-0.34738,0.047071,0.69163,0.20326,-0.14201,-0.35647,-0.426,-0.28798,0.20852,-0.24847,-7.3233e-16
"175",-1.1934,-4.6597,-1.0764,10.126,-12.477,-0.16573,1.2221,5.3414,0.55647,-1.0382,2.1099,-2.399,-4.4363,-0.62554,0.50016,-4.5798,-2.8973,-0.70566,0.91281,-1.14,-1.2403,-0.42061,-0.74526,0.14273,-0.94619,1.8871,1.2989,0.80854,-0.045196,-0.10577,0.077769,0.26188,-0.12133,-0.094882,0.21179,0.2853,-0.33082,-0.26796,-0.094694,-0.084607,-0.07213,-0.059719,5.1791e-15
"179",7.7295,0.81383,-5.4159,2.6109,-1.955,-3.5136,0.9731,-3.3262,0.44237,0.71726,1.9555,2.5251,2.5309,0.52197,-0.90593,0.27336,-3.7498,0.85864,-0.40913,1.7912,-2.123,-0.01119,0.097346,-1.1789,-0.88952,0.17899,-0.044001,0.37005,-0.74775,0.79018,-0.72932,-0.20101,0.41994,0.96624,-0.76262,-0.74806,0.39401,-0.62603,0.33769,0.53614,0.027415,-0.12265,7.191e-16
"185",3.26,-10.332,5.6074,-2.495,-5.9507,5.4111,-2.8661,0.59759,-0.056455,-2.4065,-2.0062,1.1297,1.7815,0.36943,-0.32239,0.73105,-2.0456,-0.35208,0.44997,-0.098609,0.09874,-0.1007,0.29392,-1.053,-0.21256,-0.28127,-0.15931,0.57967,1.1452,1.2759,-0.47294,-0.75177,0.43719,0.62629,1.2706,0.020164,-0.41917,0.71065,0.66493,-0.24594,0.1593,0.37041,-4.1899e-15
"189",7.9357,-1.8173,-19.479,-0.91215,2.7553,-1.5867,3.0654,-2.2147,1.7855,0.89497,-0.89311,0.071569,-1.262,2.4061,1.8236,-1.7067,0.85006,-1.0651,-2.137,2.0534,1.2379,-1.0442,-1.0512,-3.1181,0.15615,0.42091,-0.43806,-0.23825,-0.81774,-0.97497,0.50191,-0.80979,-0.028514,0.27586,0.70778,0.0057618,-0.33415,0.039714,-0.26385,-0.25172,0.30728,-0.14237,1.2964e-15
"195",6.5747,-6.7522,3.8256,0.91369,4.3137,4.2601,0.55367,2.7825,4.2308,3.0611,-0.80244,-1.3421,-1.691,-0.44571,1.0169,-1.0655,0.27627,-0.90159,0.69925,2.1864,0.62596,0.5763,-1.0262,2.3792,0.50694,-0.14174,-1.1289,0.73461,-1.0706,0.98439,0.32593,-1.461,0.10209,0.41357,-0.38775,0.49803,0.67822,-0.27856,-0.038224,-0.23647,-0.2032,0.29543,-2.9344e-16
"198",0.9046,8.7344,-10.626,2.8398,-2.3816,7.3525,11.478,1.7955,-0.37173,3.6439,0.23902,2.8353,0.90761,1.7214,-1.774,1.2606,0.028223,1.6237,-1.3463,-1.5052,-2.3341,1.3723,-1.8367,0.86809,-0.13461,0.38537,-0.72914,-1.2077,0.5925,0.4291,0.21727,0.44404,0.11549,-0.12562,0.35464,0.055732,0.23308,0.13078,-0.31351,-0.2053,0.16392,0.052326,-1.6164e-15
"202",5.9238,-10.933,0.13284,-4.3419,-4.626,4.4269,-3.206,0.78501,2.0467,3.919,-2.7459,2.5051,0.17534,-3.8628,1.2012,0.38613,1.0933,0.11935,-0.65554,-0.25249,-0.85685,1.7217,-0.23572,-1.2275,0.59161,-0.59036,0.4307,0.949,0.85448,-0.91023,0.13274,0.065609,0.50916,-0.51445,-0.84561,0.13526,-0.11736,-0.41892,0.5772,-0.51042,0.013034,-0.50582,-4.4409e-16
"206",4.399,-0.83805,-5.1145,2.0889,9.559,5.778,-1.4344,-1.903,4.3373,1.3203,1.0093,4.3432,-2.7044,-1.3073,-1.6567,-2.0434,-0.93876,1.6851,0.99719,-0.0057891,1.4229,-1.4743,0.8113,-0.008568,0.38056,0.2734,-0.93673,0.21178,-0.45632,0.47413,0.1143,0.79156,0.70781,-1.2321,0.35308,-0.11849,-0.58059,0.058723,0.18541,0.50879,-0.27004,0.012872,2.3592e-15
"215",7.4164,2.981,-9.2922,6.2301,-6.1011,-9.7614,0.64466,-5.2887,7.8772,1.2701,-2.094,-0.09555,1.902,0.57547,-4.0872,1.2697,0.5107,-0.2926,2.5214,-1.5853,2.6608,0.80319,-1.3096,0.74334,-0.36884,0.43374,0.56853,-0.065317,0.48453,-0.41788,-0.021577,-0.12393,0.1287,0.072856,-0.12339,0.21371,0.024939,0.11778,0.16771,-0.070177,-0.032836,0.097802,-2.8866e-15
