"","M250T42_pos","M110T41_2_pos","M195T35_pos","M108T41_pos","M382T289_2_pos","M153T287_neg","M266T219_neg","M267T217_neg","M145T253_neg","M275T47_neg","M157T43_2_neg","M105T47_neg","M229T45_neg","M339T37_neg","M259T42_neg","M171T43_2_neg","M74T38_neg","M150T63_neg","M131T38_neg","M130T119_neg","M133T56_neg","M190T290_neg","M662T146_neg","M164T229_neg","M180T105_neg","M283T230_neg"
"58",-0.449856899318026,-0.689753692514877,-0.384763017695835,-1.32168124725219,-0.292789095013324,5.25246007940343,-1.1095845845114,4.64514996080629,-0.227896933620116,-1.42729363936406,-0.473585640991548,0.286506410836341,-0.654174958345119,-0.236413513175455,-3.12841928027752,-2.21056147505578,1.30556653469162,-3.91800343479318,0.466072942039793,2.93185282387455,1.94946519870567,0.320189084775788,-2.2459424601884,1.8705908623949,5.53816942498726,-0.318417583105087
"62",-0.0362959182313364,-0.745794846145158,-0.150453116590732,-0.874513558792334,-0.493274931654001,-1.50263740521741,0.121113645835683,-2.00907753704139,-0.208415211258798,0.419949458708823,0.0359308615219881,-0.293703812395757,-0.0597902677785144,-0.142030672826669,-0.0336248008435681,-0.705290431072221,-0.502476307371053,-1.34270694832784,-0.245071607247728,-0.0942532176215691,-3.13254467664809,-0.0811503054739036,-0.0540702397538318,-0.324947009639308,-2.37097980415755,-0.131621257128004
"68",-0.154129837778583,-0.264008728702484,-0.217325159842497,-0.257554279562905,-0.0541801338208731,-0.696355779826113,1.51803055344112,-6.07856878472494,-0.296976612346997,-0.405762507682889,0.34541375811682,0.00117529490324056,-0.234890794831514,0.0232497717215014,-1.92480297309438,-1.55377576080587,-0.424526582148154,6.52236272146084,-0.539546935926466,-0.595931680791993,-0.598479330733121,-0.0953027228311891,3.38050070688675,-0.531116314076478,-1.03888282100034,-0.735850004962216
"122",0.100018878698965,0.0269477699559117,0.41102678891652,0.251454345670069,0.0253677817003916,-2.65983608761944,1.34563883159741,-7.11118647493207,-0.156263246828025,-0.355913051393128,0.313992294367665,-0.06450842665385,-0.793130849224623,0.0342916172898288,2.13941147104684,-0.0963016963575743,-0.601300019761692,1.43364916834476,-0.468003613627778,-0.599150828002325,1.70555484622124,-0.574027261818714,1.66734561389086,-0.651194593443416,-3.91993678727345,-0.424822166219011
"128",-0.230331872995996,0.0794620571011009,-0.205849263035857,-0.22655005047388,0.13547603015042,-1.1459292771913,0.898166172996566,-6.00072212720525,-0.183483673799467,1.72298180274958,0.978372638678337,0.0487996815664464,0.914660002742235,0.189385672739407,4.93365530552523,-0.345731394450683,-0.112487872539242,-2.25177199044496,-0.555368271279237,-0.847145844580537,0.636401661331818,-0.334796928554208,4.34146828698671,-0.592623364824635,-1.21360228891276,-1.09938026157296
"132",3.82783611879368,2.59392287715442,2.34039858363348,12.4944834579586,4.80521679477956,-2.8796535686975,-1.08843139016085,-8.14901190763006,-0.334196571735963,-1.36787330265124,-0.508641688991074,-0.490459861773952,-1.35187799727995,-0.264724124456267,-2.90483911093823,-2.58333523680119,-0.83967125016928,-4.69948894391195,-0.639962361570495,-0.973641004971867,-4.0729983706004,-0.82862811079179,-2.33503811068571,-1.50879786781808,-4.40156017347731,-1.1739843732336
"138",-0.103723551156836,-0.473751583016601,-0.257921949679625,-0.562897722233791,-0.163135293948392,-1.8022669622596,0.240787251745326,-5.8427915764262,-0.0538023653795872,0.352486237243798,0.416310989690915,-0.221117572007708,-0.536906123968753,-0.103085840762966,2.23178368071619,0.761584375907866,-0.806669224916568,2.50907885528397,-0.362264406309231,-0.527571268270562,0.817134196852746,0.0269733120935754,1.37231864969158,-0.681070609163332,-1.23543687643225,-0.419166521409196
"142",1.56211976838153,1.22969074571761,1.40200756171439,1.85429140233856,0.293869750621182,-2.74506245081049,-0.539217311344794,-7.16748274028402,-0.222681462714594,-0.239078952668607,0.75265198606293,-0.25872040648999,-0.669109761422557,-0.124118419349798,1.81766563783296,0.541846774035607,-0.654916768368414,-2.01366387163077,-0.138780957824815,0.290770854439662,-0.527813394059201,-0.0435057963936916,1.8550449012602,1.18803624678933,-1.22073550974143,-0.359328399295771
"148",-0.391614290708348,-1.01980590132819,-0.270603422544225,-0.305422350306977,0.373644729560356,-1.23576783426596,-0.3083827195389,-4.65825716966367,-0.222323398229205,3.36461016932783,0.797741873474368,-0.223265270150062,-0.5679184461977,-0.0705010413392501,-0.885254530002914,0.556509788991625,-0.435394706555451,3.56455913166277,-0.482503417085173,-0.460264166330001,1.26049497685202,0.0401646839013972,2.56536083702893,-0.590546037190098,0.342136421662972,-0.812046501555128
"71",-0.0194825630128508,-0.143101809299682,-0.21140810808158,-0.997444318804706,-0.305584751106674,3.21118904862251,-0.861424019586604,7.70546160857418,0.834402920370864,-0.691689101101737,-0.407519137349357,0.204790298709304,2.30328055636691,-0.158314286490006,-1.84114432186497,-1.29987837283826,-0.192583115245504,0.182007052341199,0.0767030280176143,-0.324588040868337,0.462911326409256,-0.112003756602891,-2.21294960039302,-0.898028518869482,-0.108305905710642,0.382384195205289
"74",-0.320097070524602,-0.565825311085563,-0.404106961931276,-0.924508966842918,-0.247774201474953,3.3777414224162,-1.10829719328456,7.64679263659382,-0.236049751801779,-0.982962444462587,-0.561069737049799,-0.0233975405675027,-0.74172536292273,-0.247994318203264,-2.05124648712497,-2.57031368208772,1.79495361247378,-4.25873676101012,0.805284507807433,1.66024012113221,3.40762419366106,0.79648536182217,-2.22101184638214,1.45699880136627,8.35197957864191,-0.605668970784995
