"","M113T44_pos","M116T39_pos","M108T41_pos","M188T297_pos","M494T646_pos","M116T48_pos","M220T38_pos","M263T291_pos","M124T33_pos","M180T38_pos","M245T46_2_neg","M275T47_neg","M191T82_neg","M242T59_neg","M322T53_neg","M199T46_neg","M258T41_neg","M339T37_neg","M259T42_neg","M195T42_2_neg","M306T80_neg","M171T43_2_neg","M282T218_neg","M135T43_2_neg","M160T262_neg","M347T101_neg","M160T45_neg","M173T36_neg","M174T41_neg","M130T119_neg","M203T264_neg","M133T56_neg","M188T114_neg","M122T103_neg","M288T106_neg","M164T229_neg","M87T82_neg","M375T333_neg","M124T38_1_neg","M180T105_neg","M243T133_neg","M323T72_neg","M151T114_neg","M283T230_neg","M204T285_neg"
"59",-0.0289040605323366,0.422982524756118,0.736937050353142,-1.1064988477023,1.50339591054625,-2.93054783995946,-0.128338852142973,-0.783643548067208,-1.07005695778809,-0.20086222907629,1.39212988732807,0.115648125301819,-3.87967175424405,1.08329533622279,-0.0874654751678475,0.111603710349234,1.94062902680272,1.07621889994175,6.42170656873481,-1.25229319987136,0.171836220315989,3.72049749513765,-1.5486526865461,-0.00730389412780042,-0.328974434349357,4.14378159100708,0.224701474116253,1.04281654801374,-0.17718269187947,-0.649683172821416,-6.34326785430005,0.824695974312985,-0.557164698101874,-0.108771855004773,-0.0881082719917525,-1.08378718302494,-2.44754691445403,-0.393139535699685,3.16616190874943,1.78027595522863,-3.99821912929673,3.58170039107713,4.37848731967036,-2.79812697875908,-3.55710074295357
"63",-0.691308394725033,-2.50598122788473,-0.876242872048418,1.49392247093466,-0.597774523084757,2.02915178043223,-0.407904235725428,0.377842388115333,-0.754576590395652,-0.253310779536941,-0.241438199621506,-0.199916005380345,0.213198439241349,-0.369517817719058,-0.776312525304203,-0.183594575505566,0.0326210339561438,-0.210080771999736,0.124911273812185,-0.673237952297852,-0.591293255942261,1.01426385876076,0.915744303690048,-0.536909865602328,1.34206435120224,2.61050537110712,-0.209700048386504,-0.842856264619497,-0.403548956405844,-0.0261524920154634,2.11010074774901,0.530232874135561,0.302543739003087,-0.4052349957352,-0.106375625447182,0.369398952486851,0.986924111501307,0.532744632963018,-4.00786232720269,-1.02018268126183,2.1341669077049,-1.93330127941758,3.11412070561732,0.047792533538676,5.50916434409381
"69",-2.14039831507327,2.17080380468556,-0.373772418597891,0.0243733384512366,-1.57432638589611,0.398545660774422,0.264569046999015,-0.970085092247286,0.35517236168929,0.35811931630748,0.868135811572592,-0.264241221853216,-1.24877365403491,0.179268845336919,-0.682833784374047,-0.160935487408884,0.5923840387481,-0.0155839518894697,-1.74070744577216,-1.3631557255094,-0.275385987633607,-0.238213851592892,-1.72571411884632,-0.106396586455935,1.29239631503499,-1.95469580604042,0.0648957462679082,0.217257578418963,-0.918094775868678,-0.673295170001264,-0.978078814306603,1.007075013427,-0.178260931428179,0.710604362649497,0.628317934109401,-0.749878580013865,-0.286781259489774,-0.0973638563872961,0.289764247853652,2.42524534855331,-1.35745098670402,-1.39810619860318,-2.40769214825097,-1.46956237419729,-0.608888596687718
"123",-2.11755136770712,1.00273975759714,0.0291807060924089,2.19726727019222,-1.02910748687071,5.31317405567157,-0.308768487316595,0.475653021677448,-0.212233110748105,-0.0709194191575713,-0.854349429015656,-0.384663144056736,2.48084728259417,-0.463912021762065,0.889697202548864,-0.279659444430789,-0.988025701373615,-0.211913090525094,-0.64467364439621,-0.760418876366882,-0.303360807385962,0.312276626580612,0.937891159449896,0.229064106647907,2.32587541595028,-2.12467193908761,0.445192983358828,-0.294677083646146,-0.876018836526639,0.356692552843501,-3.08743304638382,0.413728584407337,0.190292650697166,-0.226712071667065,0.270020316691494,0.969921564036748,1.63218300335132,0.036811811462407,-2.34451334554395,1.0437561751167,3.35482821667495,-2.40776833303645,0.546876308290051,1.46756959550006,4.87397780702885
"129",-0.823853895039135,4.7496855960824,8.65975151698649,0.307706698820736,0.564281681005178,-2.92892871268472,1.6530257897886,-1.12741222122947,2.34606016336724,1.30953870269518,1.22160891993209,2.98549274705648,-6.23424772215306,2.24381842893862,-1.17737808852813,2.97748191761194,3.02550659251047,2.11688492514609,0.490194343813437,-1.48782561285891,2.30502717194183,-1.25248267868604,-4.10186836620742,5.5181343208129,-1.64951977135655,-10.212099098184,1.65214979986407,7.96875853633544,0.373289557575278,1.19792429616196,-14.774801914456,-7.9021121311302,0.45431454076007,1.97979970760546,-0.298244715503316,-3.29837935160628,-1.73765307506732,-1.10188086956855,31.3664372540951,-8.6924254987989,-7.89274474447225,-1.21504963836509,-2.24753334843111,-5.61003548436831,-5.79068961555968
"133",0.529917261097699,-1.89562326905009,0.0210037428601159,0.323277895072014,-1.27592642134389,1.69314483843487,-0.0776342916103972,-0.317118602092302,-0.86222330883409,-0.124128861571433,-0.496034378309954,-0.110869882702368,-0.507679577374235,-0.065703189538812,-0.570812959506365,-0.0477203984624926,-0.0958120881891764,-0.0390921535323233,1.0987903169393,-1.33478659322029,-0.538374227442001,1.19335934060753,2.16131524409432,-0.49198703770149,1.43710478597298,3.20045012584116,-0.348117164122727,-0.621931545407605,0.403051876973968,0.451024337199126,3.4136121938894,1.26438282416103,-0.477509133892122,-0.24622759669454,-0.474226771094659,0.281266678262856,-0.449306166437555,-0.0478288341507234,-1.16619504519115,0.645891572820429,2.89755935478335,-1.98561453692407,1.09821337117159,1.22903829371486,0.773750683715292
"139",-0.858145984508787,-1.0739059532627,-0.738341540183734,-0.049784852837063,3.26842547783238,-2.47689086088765,-0.135262736694865,-0.469583424063961,-0.0422662305835765,-0.00537876689814552,0.671537430285558,-0.221566217478484,0.864678200889038,0.0167850712297888,1.13806217523605,-0.324461406375476,1.12169671279001,0.00291737834982421,0.73677758544213,-1.12222957469835,-0.126585858657442,2.36534802901988,-0.805881977948303,-0.0767888277969597,-0.14364498049707,-0.791683116184367,0.258566335441131,0.26560799795605,-0.547350260437621,-0.528669394067144,1.19135181204179,0.65843077476275,-0.443853036600996,0.224710843768183,0.592348889586123,-0.85270309217888,0.586338441692717,0.251983647914233,-0.0506764214717666,-0.804316951416102,-1.87512167944165,1.28393055279533,-0.420481960013433,-1.66627900933035,2.45793978181925
"143",3.27702233181195,-2.0624668516302,-0.849500204077222,1.34773563678361,-0.32172091143549,5.8016693725524,-0.496603702124047,0.294530076210739,-1.18832265648413,-0.528213891866002,-0.996480026459467,-0.770442558959751,-2.08608649691565,-0.587904088688578,-0.838793413552699,-0.161709257104141,-0.876760660197533,-0.220021609735396,-0.796079182979083,3.31767081722779,-0.492051599721662,0.440196289003956,2.47996284077281,-0.557990330970277,-0.255072827668172,-0.822290827801325,-0.707283588803058,-1.28780197267489,1.14753692831311,0.83727556175227,5.29474143098748,0.103895024507003,1.03232925687428,-0.557556265206581,-0.499847909075711,1.0201495499124,-0.503999096949824,-0.526029545387148,-2.14258618085811,1.61783543874702,2.91716576642818,-1.25438722598378,-0.675746065402411,0.59232310578219,4.62832914870336
"149",-0.577016199738999,4.3163917467205,7.78541118309061,0.826993264004131,2.32680042780646,-1.94596668151087,1.43663984947289,0.317640677261315,4.17806469659739,1.34145286686348,0.839258268724643,2.4698753247889,-6.46881672430593,1.9405818339343,-1.52472837595549,3.62444959059153,1.95155504079022,1.18580792912914,2.77596364499697,-1.4395081699678,1.57429020592909,1.38929751943156,-2.76259875789967,3.72485493504788,0.26297134333519,-10.7368690481856,2.04593046976097,6.10955690033265,0.95097690901707,0.411850882268307,-11.7604335869108,-7.95767116874107,-0.334022723445538,2.12490732772227,0.588486612195919,-2.79974201728203,-2.21833768923989,-0.449262734014009,25.9616591546546,-6.35194296034564,-7.68943687698936,-0.477347813310981,-2.12201625714625,-5.0799331495001,-4.47679081527678
"151",-1.64532914071226,-1.68536895653502,-0.479173772032806,0.483971471972195,-0.663822644855419,2.16688074084386,-0.472769424108301,1.11679400105663,-0.993506687178082,-0.387373053075749,-0.601901486519317,-0.262688393218978,2.50417720842461,-0.363660251548127,0.0329288160027975,0.237013302816077,-0.219031213462774,-0.194283231547079,3.79856485713146,-0.943641504869282,-0.315439136105588,1.3853574820726,0.0423350855622811,-0.273166032859178,-0.768326684496455,-3.78135034740114,-0.282572726500517,-0.109411600561856,-0.799408450534118,0.41713494649482,5.16192085320345,2.49869973321771,-0.415957854302938,-0.481274722268992,-0.144002747914956,0.0971496893421475,1.59882950058723,-0.21366306523291,-0.949516118307956,0.0836361485051585,1.41473160144488,0.372160860769565,0.515846331455412,0.141843296822258,2.46591984393584
